id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
38696366,Poca Cabana! A stylish and private tiny house!,Brooklyn Action Corps,45.49559,-122.65226,Entire home/apt,198,1,198,426,5.24,2026-06-06
38699497,"Close-in, private Overlook retreat.",Overlook,45.55014,-122.6836,Entire home/apt,167,1,273,646,8.14,2026-06-14
38776459,"Light Filled Apartment SW Portland - King, Patio.",Hayhurst,45.4785,-122.70852,Entire home/apt,80,30,278,47,0.58,2023-04-08
38848625,"Light, Peaceful Mt Tabor Guest House on Hawthorne",Mt. Tabor,45.5115,-122.60392,Entire home/apt,76,30,70,29,0.36,2023-11-30
38901095,Rose City Garden Studio-Midterm rental discounts,Roseway,45.54663,-122.59489,Entire home/apt,,28,0,35,0.51,2025-08-15
38901218,"Harlow Hotel, Deluxe Corner King Park View",Pearl,45.52763,-122.67773,Private room,109,1,339,1,0.03,2023-03-09
38901330,"Harlow Hotel, Deluxe Corner Queen Park View",Pearl,45.52546,-122.67769,Private room,102,1,322,5,0.06,2023-07-22
38901371,"Harlow Hotel, Deluxe King City View",Pearl,45.52688,-122.6792,Private room,106,1,348,6,0.16,2026-05-18
38901419,"Harlow Hotel, Deluxe Queen Courtyard View",Pearl,45.52556,-122.67903,Private room,98,1,330,8,0.18,2023-10-08
38901466,"Harlow Hotel, Executive King City View",Pearl,45.52717,-122.67926,Private room,121,1,311,3,0.04,2023-01-01
38901579,"Harlow Hotel, Signature Double Twin Courtyard",Pearl,45.52759,-122.67889,Private room,,1,320,8,0.18,2023-10-22
38901626,"Harlow Hotel, Signature King City View",Pearl,45.52537,-122.67891,Private room,103,1,296,4,0.05,2026-01-19
38901688,"Harlow Hotel, Signature Queen City View",Pearl,45.52691,-122.67899,Private room,112,1,257,12,0.15,2026-05-13
38954210,The Portland Snu House,King,45.55193,-122.65934,Entire home/apt,,2,0,228,2.81,2023-08-21
39053512,Cozy Cottage in the City,Sunnyside,45.51725,-122.61396,Entire home/apt,168,25,162,45,0.56,2024-12-29
39112551,Woodlawn Urban One Bedroom,Woodlawn,45.57081,-122.65897,Entire home/apt,70,30,224,2,0.08,2024-10-07
39168630,"Charming 3 bed, 2 bath Portland/ Multnomah Village",Multnomah,45.46677,-122.70686,Entire home/apt,149,30,303,7,0.19,2025-07-14
39195215,Ladd's Lodge: 2BD Apartment in Prime Location,Hosford-Abernethy,45.50648,-122.64729,Entire home/apt,238,1,183,336,4.39,2026-05-27
39200359,Modern Alberta Arts  apartment.,Alameda,45.55514,-122.64092,Entire home/apt,172,2,214,118,1.46,2026-04-13
39207853,Artist #8--Just Steps from the Max,Kenton,45.58435,-122.68395,Entire home/apt,101,30,179,42,0.52,2025-11-30
39212010,Cottagecore vibes & everything you need,Rose City Park,45.54683,-122.59761,Entire home/apt,91,6,261,243,3.11,2025-12-13
39224415,Luxe|Clean|Contactless Alberta Daylight Apartment,Sabin,45.55312,-122.65481,Entire home/apt,173,1,315,171,2.62,2026-06-06
39233083,Cozy Sellwood Bungalow,Sellwood-Moreland Improvement League,45.4665,-122.64423,Entire home/apt,320,2,13,88,1.11,2026-05-25
39246069,Farmhouse Apartment in Sweet Woodlawn,Woodlawn,45.56844,-122.6524,Entire home/apt,,2,0,51,0.63,2025-12-04
39270326,"Cozy, private suite in the shade of Forest Park",Northwest District,45.53492,-122.71808,Entire home/apt,160,2,87,182,2.59,2026-06-07
