month,geo,unit,value,geo_label,unit_label
2022-06,NL,I15,114.0,Netherlands,"Index, 2015=100"
2022-07,NL,I15,117.38,Netherlands,"Index, 2015=100"
2022-08,NL,I15,117.38,Netherlands,"Index, 2015=100"
2022-09,NL,I15,117.38,Netherlands,"Index, 2015=100"
2022-10,NL,I15,117.38,Netherlands,"Index, 2015=100"
2022-11,NL,I15,117.38,Netherlands,"Index, 2015=100"
2022-12,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-01,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-02,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-03,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-04,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-05,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-06,NL,I15,117.38,Netherlands,"Index, 2015=100"
2023-07,NL,I15,119.7,Netherlands,"Index, 2015=100"
2023-08,NL,I15,119.7,Netherlands,"Index, 2015=100"
2023-09,NL,I15,119.7,Netherlands,"Index, 2015=100"
2023-10,NL,I15,119.7,Netherlands,"Index, 2015=100"
2023-11,NL,I15,119.7,Netherlands,"Index, 2015=100"
2023-12,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-01,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-02,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-03,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-04,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-05,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-06,NL,I15,119.7,Netherlands,"Index, 2015=100"
2024-07,NL,I15,126.2,Netherlands,"Index, 2015=100"
2024-08,NL,I15,126.2,Netherlands,"Index, 2015=100"
2024-09,NL,I15,126.2,Netherlands,"Index, 2015=100"
2024-10,NL,I15,126.2,Netherlands,"Index, 2015=100"
2024-11,NL,I15,126.2,Netherlands,"Index, 2015=100"
2024-12,NL,I15,126.2,Netherlands,"Index, 2015=100"
2025-01,NL,I15,126.2,Netherlands,"Index, 2015=100"
