state,state_name,county,metro,fmr_0br_median,fmr_0br_max,fmr_1br_median,fmr_1br_max,fmr_2br_median,fmr_2br_max,fmr_3br_median,fmr_3br_max,fmr_4br_median,fmr_4br_max,area_rows
CA,California,San Joaquin County,metro,1288,1288,1395,1395,1742,1742,2423,2423,2922,2922,1
CA,California,San Luis Obispo County,metro,1842,1842,2036,2036,2671,2671,3584,3584,4105,4105,1
CA,California,San Mateo County,metro,2485,2485,2977,2977,3604,3604,4604,4604,4772,4772,1
CA,California,Santa Barbara County,metro,2459,2459,2746,2746,3124,3124,4075,4075,4647,4647,1
CA,California,Santa Clara County,metro,2621,2621,2982,2982,3483,3483,4602,4602,5010,5010,1
CA,California,Santa Cruz County,metro,3179,3179,3298,3298,4214,4214,5377,5377,5659,5659,1
CA,California,Shasta County,metro,1172,1172,1212,1212,1590,1590,2211,2211,2667,2667,1
CA,California,Sierra County,nonmetro,1068,1068,1165,1165,1529,1529,2126,2126,2527,2527,1
CA,California,Siskiyou County,nonmetro,962,962,969,969,1249,1249,1737,1737,1915,1915,1
CA,California,Solano County,metro,1567,1567,1705,1705,2178,2178,2911,2911,3297,3297,1
CA,California,Sonoma County,metro,1949,1949,2155,2155,2827,2827,3887,3887,4147,4147,1
CA,California,Stanislaus County,metro,1255,1255,1356,1356,1758,1758,2442,2442,2823,2823,1
CA,California,Sutter County,metro,1166,1166,1272,1272,1550,1550,2156,2156,2600,2600,1
CA,California,Tehama County,nonmetro,952,952,1038,1038,1362,1362,1865,1865,2285,2285,1
CA,California,Trinity County,nonmetro,829,829,916,916,1202,1202,1636,1636,1655,1655,1
CA,California,Tulare County,metro,1116,1116,1123,1123,1474,1474,2028,2028,2393,2393,1
CA,California,Tuolumne County,nonmetro,1096,1096,1257,1257,1589,1589,2078,2078,2666,2666,1
CA,California,Ventura County,metro,1998,1998,2250,2250,2693,2693,3652,3652,4240,4240,1
CA,California,Yolo County,metro,1604,1604,1615,1615,2104,2104,2917,2917,3178,3178,1
CA,California,Yuba County,metro,1166,1166,1272,1272,1550,1550,2156,2156,2600,2600,1
CO,Colorado,Adams County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Alamosa County,nonmetro,766,766,833,833,999,999,1389,1389,1676,1676,1
CO,Colorado,Arapahoe County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Archuleta County,nonmetro,1134,1134,1141,1141,1337,1337,1859,1859,2243,2243,1
CO,Colorado,Baca County,nonmetro,746,746,771,771,973,973,1353,1353,1525,1525,1
CO,Colorado,Bent County,nonmetro,772,772,777,777,1019,1019,1417,1417,1598,1598,1
CO,Colorado,Boulder County,metro,1553,1553,1795,1795,2124,2124,2820,2820,3239,3239,1
CO,Colorado,Broomfield County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Chaffee County,nonmetro,1110,1110,1117,1117,1466,1466,2039,2039,2298,2298,1
CO,Colorado,Cheyenne County,nonmetro,790,790,796,796,1044,1044,1343,1343,1637,1637,1
CO,Colorado,Clear Creek County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Conejos County,nonmetro,746,746,865,865,973,973,1332,1332,1336,1336,1
CO,Colorado,Costilla County,nonmetro,737,737,742,742,973,973,1353,1353,1525,1525,1
CO,Colorado,Crowley County,nonmetro,976,976,982,982,1289,1289,1546,1546,2021,2021,1
CO,Colorado,Custer County,nonmetro,853,853,856,856,1112,1112,1333,1333,1743,1743,1
CO,Colorado,Delta County,nonmetro,854,854,865,865,1114,1114,1537,1537,1869,1869,1
CO,Colorado,Denver County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Dolores County,nonmetro,855,855,1017,1017,1115,1115,1423,1423,1748,1748,1
CO,Colorado,Douglas County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Eagle County,nonmetro,1640,1640,1813,1813,2379,2379,2852,2852,3688,3688,1
CO,Colorado,El Paso County,metro,1196,1196,1464,1464,1735,1735,2413,2413,2744,2744,1
CO,Colorado,Elbert County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Fremont County,nonmetro,942,942,948,948,1244,1244,1593,1593,1647,1647,1
CO,Colorado,Garfield County,nonmetro,1215,1215,1223,1223,1605,1605,2232,2232,2391,2391,1
CO,Colorado,Gilpin County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Grand County,nonmetro,1107,1107,1318,1318,1475,1475,1769,1769,2474,2474,1
CO,Colorado,Gunnison County,nonmetro,1015,1015,1149,1149,1334,1334,1855,1855,2238,2238,1
CO,Colorado,Hinsdale County,nonmetro,867,867,873,873,1145,1145,1461,1461,1795,1795,1
CO,Colorado,Huerfano County,nonmetro,698,698,811,811,1013,1013,1215,1215,1588,1588,1
CO,Colorado,Jackson County,nonmetro,749,749,754,754,989,989,1262,1262,1551,1551,1
CO,Colorado,Jefferson County,metro,1643,1643,1754,1754,2089,2089,2734,2734,3049,3049,1
CO,Colorado,Kiowa County,nonmetro,868,868,873,873,1146,1146,1463,1463,1797,1797,1
CO,Colorado,Kit Carson County,nonmetro,828,828,833,833,1093,1093,1311,1311,1714,1714,1
